[2026-07-03 21:55:09] ============================================================
[2026-07-03 21:55:09] HD-EMG 分类 demo 开始（在 tmux 后台运行，关掉 SSH 也会继续）
[2026-07-03 21:55:09] ============================================================
[2026-07-03 21:55:09] PyTorch 2.12.1+cu130 | CUDA available=True
[2026-07-03 21:55:09] GPU: NVIDIA GeForce RTX 5080 | 含sm_120=True
[2026-07-03 21:55:09] 加载数据: /data/data/EMG/PR_raw/preprocess_npy/features_all.npz
[2026-07-03 21:55:09] X shape=(4030, 4, 256) dtype=float32 | Y shape=(4030,) | 类别数=34（原标签 [np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(33), np.int64(34)]）
[2026-07-03 21:55:09] train=3224  val=806
[2026-07-03 21:55:09] 模型 EMGNet：输入通道=4 类别=34 参数量=0.04M
[2026-07-03 21:55:10] 开始训练 200 epoch ...
[2026-07-03 21:55:11] ★ epoch 00/200 | loss 3.4215 | train_acc 0.061 | val_acc 0.079 | best 0.079
[2026-07-03 21:55:11] ★ epoch 01/200 | loss 3.2857 | train_acc 0.085 | val_acc 0.107 | best 0.107
[2026-07-03 21:55:12] ★ epoch 02/200 | loss 3.1651 | train_acc 0.112 | val_acc 0.127 | best 0.127
[2026-07-03 21:55:12] ★ epoch 03/200 | loss 3.0257 | train_acc 0.141 | val_acc 0.166 | best 0.166
[2026-07-03 21:55:12] ★ epoch 04/200 | loss 2.9273 | train_acc 0.164 | val_acc 0.177 | best 0.177
[2026-07-03 21:55:13]   epoch 05/200 | loss 2.7934 | train_acc 0.181 | val_acc 0.167 | best 0.177
[2026-07-03 21:55:13] ★ epoch 06/200 | loss 2.7366 | train_acc 0.188 | val_acc 0.217 | best 0.217
[2026-07-03 21:55:14] ★ epoch 07/200 | loss 2.6506 | train_acc 0.212 | val_acc 0.254 | best 0.254
[2026-07-03 21:55:14]   epoch 08/200 | loss 2.5758 | train_acc 0.233 | val_acc 0.206 | best 0.254
[2026-07-03 21:55:14]   epoch 09/200 | loss 2.5267 | train_acc 0.243 | val_acc 0.215 | best 0.254
[2026-07-03 21:55:15]   epoch 10/200 | loss 2.4675 | train_acc 0.264 | val_acc 0.237 | best 0.254
[2026-07-03 21:55:15] ★ epoch 11/200 | loss 2.3858 | train_acc 0.282 | val_acc 0.298 | best 0.298
